season,team,warps_wins,actual_wins,proj_bin,hit_50,lo_50,hi_50,hit_60,lo_60,hi_60,hit_70,lo_70,hi_70,hit_80,lo_80,hi_80,hit_90,lo_90,hi_90
2001,SEA,6.89,9.0,5–7,1,4.84,9.01,1,4.33,9.5,1,3.63,10.03,1,2.9,10.69,1,2.24,11.39
2001,SF,7.67,12.0,7–9,0,5.62,9.79,0,5.11,10.27,0,4.41,10.8,0,3.68,11.46,1,3.02,12.16
2001,TB,9.25,9.0,9–11,1,7.2,11.37,1,6.69,11.85,1,5.99,12.38,1,5.26,13.04,1,4.6,13.74
2001,TEN,9.79,7.0,9–11,0,7.74,11.91,0,7.23,12.4,1,6.53,12.93,1,5.8,13.59,1,5.14,14.29
2001,WAS,8.43,8.0,7–9,1,6.37,10.54,1,5.87,11.03,1,5.17,11.56,1,4.43,12.22,1,3.77,12.92
2002,ARI,7.05,5.0,7–9,1,4.99,9.17,1,4.49,9.7,1,3.8,10.27,1,3.06,10.91,1,2.39,11.57
2002,ATL,7.09,9.5,7–9,0,5.02,9.2,1,4.52,9.73,1,3.83,10.3,1,3.09,10.94,1,2.43,11.61
2002,BAL,8.86,7.0,7–9,1,6.8,10.98,1,6.29,11.51,1,5.61,12.08,1,4.87,12.72,1,4.2,13.38
2002,BUF,5.7,8.0,5–7,0,3.64,7.82,1,3.13,8.35,1,2.45,8.92,1,1.71,9.56,1,1.04,10.22
2002,CAR,6.17,7.0,5–7,1,4.11,8.29,1,3.61,8.82,1,2.92,9.39,1,2.18,10.03,1,1.52,10.69
2002,CHI,10.17,4.0,9–11,0,8.1,12.29,0,7.6,12.82,0,6.92,13.38,0,6.18,14.03,0,5.51,14.69
2002,CIN,6.79,2.0,5–7,0,4.73,8.91,0,4.22,9.44,0,3.54,10.01,0,2.8,10.65,0,2.13,11.31
2002,CLE,7.63,9.0,7–9,1,5.57,9.75,1,5.07,10.28,1,4.38,10.85,1,3.64,11.49,1,2.98,12.15
2002,DAL,6.64,5.0,5–7,1,4.57,8.76,1,4.07,9.29,1,3.39,9.85,1,2.65,10.5,1,1.98,11.16
2002,DEN,7.69,9.0,7–9,1,5.63,9.81,1,5.13,10.34,1,4.44,10.91,1,3.7,11.55,1,3.04,12.21
2002,DET,6.05,3.0,5–7,0,3.99,8.17,0,3.49,8.7,1,2.8,9.27,1,2.06,9.91,1,1.39,10.57
2002,GB,9.95,12.0,9–11,1,7.88,12.07,1,7.38,12.59,1,6.69,13.16,1,5.95,13.8,1,5.29,14.47
2002,HOU,8.29,4.0,7–9,0,6.22,10.41,0,5.72,10.94,0,5.04,11.5,0,4.3,12.14,1,3.63,12.81
2002,IND,7.17,10.0,7–9,0,5.11,9.29,0,4.61,9.82,1,3.92,10.39,1,3.18,11.03,1,2.52,11.7
2002,JAX,8.31,6.0,7–9,0,6.25,10.43,1,5.75,10.96,1,5.06,11.53,1,4.32,12.17,1,3.65,12.83
2002,KC,7.3,8.0,7–9,1,5.24,9.42,1,4.73,9.95,1,4.05,10.52,1,3.31,11.16,1,2.64,11.82
2002,LAC,7.95,8.0,7–9,1,5.88,10.07,1,5.38,10.59,1,4.69,11.16,1,3.95,11.8,1,3.29,12.47
2002,LAR,10.36,7.0,9–11,0,8.29,12.48,0,7.79,13.0,0,7.11,13.57,1,6.37,14.21,1,5.7,14.88
2002,LV,8.67,11.0,7–9,0,6.6,10.79,1,6.1,11.32,1,5.42,11.89,1,4.68,12.53,1,4.01,13.19
2002,MIA,8.78,9.0,7–9,1,6.72,10.9,1,6.22,11.43,1,5.53,12.0,1,4.79,12.64,1,4.12,13.3
2002,MIN,6.69,6.0,5–7,1,4.62,8.81,1,4.12,9.33,1,3.43,9.9,1,2.69,10.54,1,2.03,11.21
2002,NE,9.37,9.0,9–11,1,7.3,11.49,1,6.8,12.01,1,6.12,12.58,1,5.38,13.22,1,4.71,13.89
2002,NO,7.21,9.0,7–9,1,5.14,9.33,1,4.64,9.85,1,3.96,10.42,1,3.21,11.06,1,2.55,11.73
2002,NYG,7.66,10.0,7–9,0,5.59,9.78,1,5.09,10.31,1,4.41,10.87,1,3.67,11.52,1,3.0,12.18
2002,NYJ,8.13,9.0,7–9,1,6.06,10.25,1,5.56,10.78,1,4.88,11.34,1,4.14,11.98,1,3.47,12.65
2002,PHI,10.08,12.0,9–11,1,8.01,12.2,1,7.51,12.73,1,6.83,13.3,1,6.09,13.94,1,5.42,14.6
2002,PIT,10.39,10.5,9–11,1,8.32,12.51,1,7.82,13.03,1,7.14,13.6,1,6.4,14.24,1,5.73,14.91
2002,SEA,7.35,7.0,7–9,1,5.28,9.47,1,4.78,9.99,1,4.1,10.56,1,3.36,11.2,1,2.69,11.87
2002,SF,9.44,10.0,9–11,1,7.37,11.56,1,6.87,12.08,1,6.18,12.65,1,5.44,13.29,1,4.78,13.96
2002,TB,8.83,12.0,7–9,0,6.77,10.95,0,6.27,11.48,1,5.58,12.05,1,4.84,12.69,1,4.17,13.35
2002,TEN,7.21,11.0,7–9,0,5.15,9.33,0,4.65,9.86,0,3.96,10.43,1,3.22,11.07,1,2.55,11.73
2002,WAS,7.05,7.0,7–9,1,4.99,9.17,1,4.49,9.7,1,3.8,10.27,1,3.06,10.91,1,2.39,11.57
2003,ARI,6.3,4.0,5–7,0,4.25,8.41,1,3.75,8.89,1,3.1,9.43,1,2.31,10.1,1,1.56,10.81
2003,ATL,9.14,5.0,9–11,0,7.09,11.25,0,6.59,11.73,0,5.93,12.27,0,5.15,12.93,1,4.4,13.64
2003,BAL,7.49,10.0,7–9,0,5.44,9.59,1,4.94,10.08,1,4.28,10.62,1,3.49,11.28,1,2.75,11.99
2003,BUF,7.6,6.0,7–9,1,5.55,9.71,1,5.05,10.19,1,4.39,10.73,1,3.61,11.39,1,2.86,12.1
2003,CAR,6.96,11.0,5–7,0,4.91,9.07,0,4.41,9.55,0,3.75,10.09,0,2.97,10.75,1,2.22,11.46
2003,CHI,6.71,7.0,5–7,1,4.66,8.81,1,4.16,9.3,1,3.5,9.84,1,2.71,10.5,1,1.97,11.21
2003,CIN,5.69,8.0,5–7,0,3.64,7.8,1,3.14,8.28,1,2.48,8.82,1,1.7,9.48,1,0.95,10.19
2003,CLE,8.6,5.0,7–9,0,6.55,10.7,0,6.05,11.19,0,5.39,11.73,1,4.61,12.39,1,3.86,13.1
2003,DAL,5.73,10.0,5–7,0,3.68,7.84,0,3.18,8.32,0,2.52,8.86,0,1.74,9.52,1,0.99,10.23
2003,DEN,8.66,10.0,7–9,1,6.61,10.77,1,6.11,11.25,1,5.45,11.79,1,4.67,12.45,1,3.92,13.16
2003,DET,6.33,5.0,5–7,1,4.28,8.44,1,3.78,8.92,1,3.12,9.46,1,2.34,10.12,1,1.59,10.83
2003,GB,9.24,10.0,9–11,1,7.19,11.35,1,6.69,11.83,1,6.03,12.37,1,5.25,13.03,1,4.5,13.74
2003,HOU,5.26,5.0,5–7,1,3.21,7.37,1,2.71,7.85,1,2.05,8.39,1,1.27,9.05,1,0.52,9.76
2003,IND,8.35,12.0,7–9,0,6.3,10.46,0,5.8,10.94,0,5.14,11.48,1,4.36,12.14,1,3.61,12.85
2003,JAX,8.08,5.0,7–9,0,6.02,10.18,0,5.52,10.66,1,4.87,11.2,1,4.08,11.87,1,3.34,12.58
2003,KC,9.1,13.0,9–11,0,7.05,11.21,0,6.55,11.69,0,5.89,12.23,0,5.11,12.89,1,4.36,13.6
2003,LAC,7.26,4.0,7–9,0,5.21,9.36,0,4.71,9.85,0,4.05,10.39,1,3.27,11.05,1,2.52,11.76
2003,LAR,7.66,12.0,7–9,0,5.61,9.76,0,5.11,10.25,0,4.45,10.79,0,3.67,11.45,1,2.92,12.16
2003,LV,10.13,4.0,9–11,0,8.07,12.23,0,7.57,12.71,0,6.92,13.25,0,6.13,13.92,0,5.39,14.63
2003,MIA,9.21,10.0,9–11,1,7.16,11.32,1,6.66,11.8,1,6.0,12.34,1,5.22,13.0,1,4.47,13.71
2003,MIN,7.49,9.0,7–9,1,5.44,9.6,1,4.94,10.08,1,4.28,10.62,1,3.5,11.28,1,2.75,11.99
2003,NE,8.33,14.0,7–9,0,6.28,10.44,0,5.78,10.92,0,5.12,11.46,0,4.34,12.12,0,3.59,12.83
2003,NO,8.34,8.0,7–9,1,6.29,10.45,1,5.79,10.93,1,5.13,11.47,1,4.35,12.13,1,3.6,12.84
2003,NYG,8.49,4.0,7–9,0,6.44,10.6,0,5.94,11.08,0,5.29,11.62,0,4.5,12.29,1,3.75,13.0
2003,NYJ,8.04,6.0,7–9,1,5.99,10.15,1,5.49,10.63,1,4.83,11.17,1,4.05,11.83,1,3.3,12.54
2003,PHI,10.39,12.0,9–11,1,8.34,12.5,1,7.84,12.98,1,7.18,13.52,1,6.4,14.18,1,5.65,14.89
2003,PIT,8.92,6.0,7–9,0,6.86,11.02,0,6.36,11.5,1,5.71,12.04,1,4.92,12.71,1,4.18,13.42
2003,SEA,8.5,10.0,7–9,1,6.45,10.6,1,5.95,11.09,1,5.29,11.63,1,4.51,12.29,1,3.76,13.0
2003,SF,8.66,7.0,7–9,1,6.61,10.77,1,6.11,11.25,1,5.45,11.79,1,4.67,12.46,1,3.92,13.17
2003,TB,10.3,7.0,9–11,0,8.25,12.41,0,7.75,12.89,0,7.1,13.43,1,6.31,14.1,1,5.56,14.81
2003,TEN,8.34,12.0,7–9,0,6.29,10.45,0,5.79,10.93,0,5.13,11.47,1,4.35,12.13,1,3.6,12.84
2003,WAS,6.7,5.0,5–7,1,4.65,8.81,1,4.15,9.29,1,3.49,9.83,1,2.71,10.49,1,1.96,11.2
2004,ARI,4.95,6.0,≤5,1,2.9,7.07,1,2.39,7.56,1,1.7,8.1,1,0.96,8.75,1,0.21,9.41
2004,ATL,6.47,11.0,5–7,0,4.42,8.59,0,3.91,9.08,0,3.22,9.62,0,2.48,10.27,0,1.73,10.93
2004,BAL,9.58,9.0,9–11,1,7.53,11.7,1,7.02,12.19,1,6.33,12.73,1,5.59,13.38,1,4.84,14.04
2004,BUF,7.24,9.0,7–9,1,5.18,9.36,1,4.68,9.85,1,3.99,10.38,1,3.25,11.04,1,2.5,11.7
2004,CAR,8.21,7.0,7–9,1,6.15,10.33,1,5.65,10.82,1,4.96,11.35,1,4.22,12.01,1,3.47,12.67
2004,CHI,6.93,5.0,5–7,1,4.87,9.05,1,4.37,9.54,1,3.68,10.07,1,2.94,10.73,1,2.19,11.39
2004,CIN,7.31,8.0,7–9,1,5.25,9.43,1,4.75,9.92,1,4.06,10.46,1,3.32,11.11,1,2.57,11.77
2004,CLE,7.03,4.0,7–9,0,4.98,9.15,0,4.47,9.64,1,3.78,10.18,1,3.04,10.83,1,2.29,11.49
2004,DAL,8.69,6.0,7–9,0,6.64,10.81,0,6.13,11.3,1,5.44,11.84,1,4.7,12.49,1,3.95,13.15
2004,DEN,9.29,10.0,9–11,1,7.23,11.41,1,6.73,11.9,1,6.04,12.43,1,5.3,13.09,1,4.55,13.75
2004,DET,6.61,6.0,5–7,1,4.55,8.73,1,4.05,9.22,1,3.36,9.75,1,2.62,10.41,1,1.87,11.07
2004,GB,9.9,10.0,9–11,1,7.84,12.02,1,7.34,12.51,1,6.65,13.04,1,5.91,13.7,1,5.16,14.36
2004,HOU,6.07,7.0,5–7,1,4.02,8.19,1,3.51,8.68,1,2.82,9.22,1,2.08,9.87,1,1.33,10.53
2004,IND,9.35,12.0,9–11,0,7.29,11.47,0,6.79,11.96,1,6.1,12.49,1,5.36,13.14,1,4.61,13.8
2004,JAX,7.1,9.0,7–9,1,5.04,9.22,1,4.54,9.71,1,3.85,10.24,1,3.11,10.9,1,2.36,11.56
2004,KC,9.87,7.0,9–11,0,7.81,11.99,0,7.31,12.48,1,6.62,13.01,1,5.88,13.67,1,5.13,14.33
2004,LAC,6.29,12.0,5–7,0,4.24,8.41,0,3.73,8.9,0,3.04,9.44,0,2.3,10.09,0,1.55,10.75
2004,LAR,9.39,8.0,9–11,1,7.33,11.51,1,6.83,12.0,1,6.14,12.53,1,5.4,13.19,1,4.65,13.85
2004,LV,6.36,5.0,5–7,1,4.3,8.48,1,3.8,8.97,1,3.11,9.5,1,2.37,10.16,1,1.62,10.82
2004,MIA,8.55,4.0,7–9,0,6.49,10.66,0,5.99,11.15,0,5.29,11.69,0,4.55,12.34,1,3.81,13.0
2004,MIN,8.92,8.0,7–9,1,6.87,11.04,1,6.36,11.53,1,5.67,12.07,1,4.93,12.72,1,4.18,13.38
2004,NE,9.53,14.0,9–11,0,7.48,11.65,0,6.97,12.14,0,6.28,12.68,0,5.54,13.33,0,4.79,13.99
2004,NO,8.21,8.0,7–9,1,6.15,10.33,1,5.65,10.82,1,4.96,11.36,1,4.22,12.01,1,3.47,12.67
2004,NYG,6.23,6.0,5–7,1,4.17,8.35,1,3.67,8.84,1,2.98,9.37,1,2.24,10.03,1,1.49,10.69
2004,NYJ,7.73,10.0,7–9,0,5.67,9.85,1,5.17,10.34,1,4.48,10.87,1,3.74,11.53,1,2.99,12.19
2004,PHI,9.52,13.0,9–11,0,7.47,11.64,0,6.97,12.13,0,6.27,12.67,1,5.53,13.32,1,4.79,13.98
2004,PIT,7.74,15.0,7–9,0,5.68,9.86,0,5.18,10.35,0,4.49,10.88,0,3.75,11.54,0,3.0,12.2
2004,SEA,8.95,9.0,7–9,1,6.9,11.07,1,6.39,11.56,1,5.7,12.1,1,4.96,12.75,1,4.21,13.41
2004,SF,8.74,2.0,7–9,0,6.68,10.86,0,6.18,11.34,0,5.48,11.88,0,4.74,12.53,0,4.0,13.19
2004,TB,8.9,5.0,7–9,0,6.84,11.02,0,6.34,11.51,0,5.65,12.04,1,4.91,12.7,1,4.16,13.36
2004,TEN,9.57,5.0,9–11,0,7.51,11.69,0,7.01,12.18,0,6.32,12.71,0,5.58,13.37,1,4.83,14.03
2004,WAS,6.74,6.0,5–7,1,4.68,8.86,1,4.18,9.35,1,3.49,9.89,1,2.75,10.54,1,2.0,11.2
2005,ARI,7.93,5.0,7–9,0,5.88,9.99,0,5.4,10.48,1,4.72,11.07,1,3.99,11.73,1,3.3,12.43
2005,ATL,7.86,8.0,7–9,1,5.81,9.92,1,5.33,10.41,1,4.65,11.0,1,3.92,11.66,1,3.22,12.36
2005,BAL,8.81,6.0,7–9,0,6.76,10.87,0,6.28,11.36,1,5.6,11.94,1,4.87,12.61,1,4.17,13.31
2005,BUF,9.33,5.0,9–11,0,7.28,11.39,0,6.8,11.88,0,6.12,12.46,0,5.39,13.13,1,4.69,13.83
2005,CAR,8.36,11.0,7–9,0,6.31,10.42,0,5.83,10.91,1,5.15,11.5,1,4.42,12.16,1,3.72,12.86
2005,CHI,6.43,11.0,5–7,0,4.38,8.49,0,3.9,8.98,0,3.22,9.57,0,2.49,10.23,0,1.79,10.93
2005,CIN,7.87,11.0,7–9,0,5.82,9.93,0,5.34,10.42,1,4.66,11.01,1,3.93,11.67,1,3.24,12.37
2005,CLE,6.24,6.0,5–7,1,4.19,8.3,1,3.7,8.78,1,3.03,9.37,1,2.3,10.03,1,1.6,10.74
2005,DAL,6.45,9.0,5–7,0,4.4,8.51,0,3.92,9.0,1,3.24,9.59,1,2.51,10.25,1,1.81,10.95
2005,DEN,8.86,13.0,7–9,0,6.81,10.92,0,6.33,11.41,0,5.65,12.0,0,4.92,12.66,1,4.22,13.36
2005,DET,7.36,5.0,7–9,0,5.31,9.43,1,4.83,9.91,1,4.15,10.5,1,3.42,11.16,1,2.73,11.86
2005,GB,8.77,4.0,7–9,0,6.72,10.83,0,6.23,11.31,0,5.56,11.9,0,4.82,12.56,0,4.13,13.27
2005,HOU,7.53,2.0,7–9,0,5.48,9.59,0,5.0,10.08,0,4.32,10.66,0,3.59,11.33,0,2.89,12.03
2005,IND,10.29,14.0,9–11,0,8.24,12.35,0,7.76,12.84,0,7.08,13.42,1,6.35,14.09,1,5.65,14.79
2005,JAX,7.67,12.0,7–9,0,5.62,9.73,0,5.13,10.21,0,4.46,10.8,0,3.72,11.46,1,3.03,12.17
2005,KC,8.26,10.0,7–9,1,6.21,10.32,1,5.73,10.81,1,5.05,11.4,1,4.32,12.06,1,3.63,12.76
2005,LAC,9.34,9.0,9–11,1,7.29,11.41,1,6.81,11.89,1,6.13,12.48,1,5.4,13.14,1,4.71,13.85
2005,LAR,7.43,6.0,7–9,1,5.39,9.5,1,4.9,9.98,1,4.23,10.57,1,3.49,11.23,1,2.8,11.94
2005,LV,5.9,4.0,5–7,1,3.85,7.96,1,3.37,8.45,1,2.69,9.04,1,1.96,9.7,1,1.27,10.4
2005,MIA,6.16,9.0,5–7,0,4.11,8.22,0,3.63,8.71,1,2.95,9.3,1,2.22,9.96,1,1.52,10.66
2005,MIN,8.47,9.0,7–9,1,6.42,10.54,1,5.94,11.02,1,5.26,11.61,1,4.53,12.27,1,3.84,12.97
2005,NE,9.95,10.0,9–11,1,7.9,12.01,1,7.41,12.49,1,6.74,13.08,1,6.0,13.74,1,5.31,14.45
2005,NO,7.12,3.0,7–9,0,5.07,9.19,0,4.59,9.67,0,3.91,10.26,0,3.18,10.92,1,2.49,11.63
2005,NYG,7.52,11.0,7–9,0,5.48,9.59,0,4.99,10.07,0,4.32,10.66,1,3.58,11.32,1,2.89,12.03
2005,NYJ,8.74,4.0,7–9,0,6.69,10.8,0,6.2,11.28,0,5.53,11.87,0,4.79,12.53,0,4.1,13.24
2005,PHI,10.38,6.0,9–11,0,8.33,12.44,0,7.85,12.93,0,7.17,13.52,0,6.44,14.18,1,5.74,14.88
2005,PIT,9.85,11.0,9–11,1,7.8,11.91,1,7.31,12.39,1,6.64,12.98,1,5.9,13.64,1,5.21,14.35
2005,SEA,8.55,13.0,7–9,0,6.5,10.61,0,6.01,11.1,0,5.34,11.68,0,4.61,12.35,1,3.91,13.05
2005,SF,5.73,4.0,5–7,1,3.68,7.79,1,3.19,8.27,1,2.52,8.86,1,1.79,9.52,1,1.09,10.23
2005,TB,8.08,11.0,7–9,0,6.03,10.14,0,5.55,10.63,1,4.87,11.21,1,4.14,11.88,1,3.44,12.58
2005,TEN,6.93,4.0,5–7,0,4.88,8.99,0,4.4,9.48,1,3.72,10.07,1,2.99,10.73,1,2.29,11.43
2005,WAS,7.83,10.0,7–9,0,5.78,9.89,1,5.29,10.37,1,4.62,10.96,1,3.88,11.62,1,3.19,12.33
2006,ARI,7.04,5.0,7–9,1,4.97,9.16,1,4.47,9.63,1,3.79,10.17,1,3.04,10.84,1,2.27,11.53
2006,ATL,8.12,7.0,7–9,1,6.05,10.24,1,5.55,10.71,1,4.87,11.25,1,4.12,11.92,1,3.35,12.61
2006,BAL,7.29,13.0,7–9,0,5.22,9.41,0,4.72,9.88,0,4.04,10.42,0,3.29,11.09,0,2.52,11.78
2006,BUF,6.89,7.0,5–7,1,4.82,9.01,1,4.32,9.48,1,3.64,10.02,1,2.89,10.69,1,2.12,11.38
2006,CAR,9.84,8.0,9–11,1,7.77,11.96,1,7.27,12.43,1,6.59,12.97,1,5.84,13.64,1,5.07,14.33
2006,CHI,9.48,13.0,9–11,0,7.42,11.6,0,6.92,12.07,0,6.23,12.62,1,5.49,13.29,1,4.72,13.98
2006,CIN,8.47,8.0,7–9,1,6.41,10.59,1,5.91,11.06,1,5.22,11.61,1,4.48,12.28,1,3.71,12.96
2006,CLE,6.72,4.0,5–7,0,4.65,8.84,0,4.15,9.31,1,3.47,9.85,1,2.72,10.52,1,1.95,11.21
2006,DAL,8.21,9.0,7–9,1,6.14,10.33,1,5.64,10.8,1,4.96,11.34,1,4.22,12.02,1,3.44,12.7
2006,DEN,9.51,9.0,9–11,1,7.44,11.63,1,6.94,12.1,1,6.26,12.64,1,5.51,13.31,1,4.74,14.0
